,state,pop
0,AL,4903185
1,AL,2560
2,AL,4281
3,AL,718
4,AL,328
5,AL,33487
6,AL,21711
7,AL,14317
8,AL,2254
9,AL,650
10,AL,913
11,AL,8680
12,AL,267
13,AL,21287
14,AL,8383
15,AL,1463
16,AL,4348
17,AL,739
18,AL,345
19,AL,2181
20,AL,1895
21,AL,2365
22,AL,27366
23,AL,9107
24,AL,5771
25,AL,66259
26,AL,871
27,AL,510
28,AL,596
29,AL,619
30,AL,252
31,AL,164
32,AL,9354
33,AL,2479
34,AL,1068
35,AL,278
36,AL,187
37,AL,204
38,AL,41
39,AL,460
40,AL,1095
41,AL,26472
42,AL,142
43,AL,209403
44,AL,203
45,AL,1670
46,AL,87
47,AL,9704
48,AL,280
49,AL,110
50,AL,768
51,AL,4747
52,AL,5210
53,AL,2297
54,AL,2775
55,AL,873
56,AL,1329
57,AL,1848
58,AL,1902
59,AL,1721
60,AL,14717
61,AL,1765
62,AL,950
63,AL,1892
64,AL,55
65,AL,295
66,AL,943
67,AL,540
68,AL,1823
69,AL,16110
70,AL,3542
71,AL,2609
72,AL,1182
73,AL,14126
74,AL,1008
75,AL,5702
76,AL,4837
77,AL,3861
78,AL,8794
79,AL,9923
80,AL,585
81,AL,2847
82,AL,1306
83,AL,1274
84,AL,1663
85,AL,214
86,AL,322
87,AL,964
88,AL,2009
89,AL,289
90,AL,737
91,AL,4550
92,AL,1298
93,AL,1850
94,AL,1255
95,AL,265
96,AL,588
97,AL,2079
98,AL,2036
99,AL,1857
100,AL,290
101,AL,16034
102,AL,124
103,AL,3053
104,AL,5102
105,AL,26869
106,AL,1335
107,AL,210
108,AL,46
109,AL,1237
110,AL,54445
111,AL,6612
112,AL,220
113,AL,623
114,AL,1905
115,AL,68941
116,AL,1062
117,AL,778
118,AL,320
119,AL,314
120,AL,2356
121,AL,1013
122,AL,196
123,AL,3811
124,AL,1746
125,AL,123
126,AL,510
127,AL,1348
128,AL,48
129,AL,28376
130,AL,329
131,AL,73
132,AL,11709
133,AL,2603
134,AL,499
135,AL,3526
136,AL,632
137,AL,10568
138,AL,22677
139,AL,463
140,AL,1257
141,AL,92
142,AL,4275
143,AL,143
144,AL,1393
145,AL,1906
146,AL,40797
147,AL,20391
148,AL,588
149,AL,1155
